m,dm,mu,t,dt,df,k,m2,dm2,dmu,susc,rsw,rsw_check,growth_speed,dphi,drive
0.98879625,0.00029718442721077384,-6.7,455273.95226125,2161.769414664303,0.0,1.0,0.9777222916666667,0.0005876338869308369,4.0,4.267652604084127e-06,40,True,0.0003514367540802931,0.08240998098707233,4.0
0.9860756250000001,0.0003459623880688967,-6.6499999999999995,366804.8251925001,1572.7373413550608,0.0,1.0,0.9723520833333333,0.00068213259135792,4.0,6.945114192524748e-06,40,True,0.00043619927822931883,0.13225982945770917,4.0
0.9830256250000001,0.00033623395401219386,-6.6000000000000005,306843.1422085417,1415.250972245454,0.0,1.0,0.9663475,0.0006607508019975645,4.0,8.12059335919546e-06,40,True,0.0005214390611710599,0.18210200380004876,4.0
0.9799829166666667,0.00037500377756174546,-6.55,261338.08039416667,1229.8822572919096,0.0,1.0,0.9603737499999999,0.0007349461808466884,4.0,7.233041492860082e-06,40,True,0.0006122337768712384,0.23193611310084353,4.0
0.97538175,0.00034491568291799196,-6.5,222880.58424824997,903.0686815349302,0.0,1.0,0.9513797500000001,0.0006730940267370631,4.0,1.019176693750623e-05,40,True,0.0007178732079317774,0.2817617466708652,4.0
0.9709786250000001,0.00041539480015051684,-6.450000000000001,191369.961585125,853.3269259038541,0.0,1.0,0.94281425,0.0008062683571651708,4.0,1.4759793109164754e-05,40,True,0.0008360768778689907,0.33157847305879606,4.0
0.9656488749999997,0.0004470870201646245,-6.3999999999999995,165855.512928375,794.6148155875458,0.0,1.0,0.9324942499999999,0.0008630258399808681,4.0,1.650021123478229e-05,40,True,0.0009646950962015732,0.3813858390174383,4.0
0.95795175,0.0005990857954818338,-6.3500000000000005,142396.978099125,1141.7721483764178,0.0,1.0,0.9177006249999999,0.001146026878312578,4.0,2.906967193749832e-05,40,True,0.0011236193501846733,0.43118336842009786,4.0
0.94939,0.0006247199879074929,-6.299999999999999,123880.239328625,1153.815531948984,0.0,1.0,0.9013727500000002,0.0011866097992451253,4.0,3.137790000029561e-05,40,True,0.0012915699942713042,0.48097056112495906,4.0
0.939627625,0.0007317520427148831,-6.25,104234.84223849999,1181.076234909852,0.0,1.0,0.8829419999999999,0.001375847096946901,4.0,4.192633685928815e-05,40,True,0.0015349953678051684,0.5307468917850704,4.0
0.9289465,0.0009029503697619072,-6.200000000000001,87513.57450675001,1160.0530157027906,0.0,1.0,0.8630054999999999,0.0016781327769543769,4.0,6.390013774981718e-05,40,True,0.001828287793085849,0.5805118086016376,4.0
0.9117184999999999,0.0009051332879677673,-6.1499999999999995,69739.10349437501,1177.745052603089,0.0,1.0,0.83129575,0.0016490865017785156,4.0,6.512675775027787e-05,40,True,0.0022942652254327477,0.6302647320180876,4.0
0.891062625,0.0013143387992570997,-6.1000000000000005,55728.72999025,891.9084259875686,0.0,1.0,0.794129375,0.002343266176011094,4.0,0.00013677332810935194,40,True,0.002871050534042185,0.6800050533523766,4.0
0.8662790625000001,0.0021523812937639442,-6.05,43582.712148125,800.2797360723017,0.0,1.0,0.7505828125,0.0036971558716381602,4.0,0.00014339837412102874,40,True,0.003671180431731885,0.729732133364938,4.0
0.834835625,0.0024646497059182784,-6.0,35036.882206875,813.8539845793493,0.0,1.0,0.6971378125000001,0.004111504898098959,4.0,0.0001872917308595179,40,True,0.004566616374575832,0.7794453007594948,4.0
0.8100896874999999,0.0028915865679440263,-5.95,29550.5549228125,676.8477830076787,0.0,1.0,0.6565046875,0.004666062484553011,4.0,0.0002593857061525817,40,True,0.005414449928873683,0.8291438506140048,4.0
0.7657275,0.003173811817296812,-5.9,23967.9896265625,528.8104608176878,0.0,1.0,0.5866500000000001,0.004867750047423712,4.0,0.00031139574375005363,40,True,0.006675570312442065,0.8788270427388216,4.0
0.673210625,0.004027773386766081,-5.8,15800.8353159375,243.64458640557862,0.0,1.0,0.45371625000000004,0.005410143526172879,4.0,0.0005037043871095048,40,True,0.010126046933646358,0.9781442063187578,4.0
0.6324146875,0.0035073798057365427,-5.75,12564.826938125001,207.9517628784378,0.0,1.0,0.40032875,0.004454266501969153,4.0,0.0003804130342773826,40,True,0.012733959710540681,1.0277765052018715,4.0
